index,postion,streams,year,country,title,artist,valence
0,1,17489,2018,ae,thank u next,Ariana Grande,0.412
1,2,11657,2018,ae,Without Me,Halsey,0.533
2,3,10676,2018,ae,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.913
3,4,10386,2018,ae,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake,0.617
4,5,8774,2018,ae,Better,Khalid,0.112
5,6,8763,2018,ae,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,0.288
6,7,8298,2018,ae,SICKO MODE,Travis Scott,0.446
7,8,7924,2018,ae,Happier,Marshmello,0.671
8,9,7284,2018,ae,Kiss and Make Up,Dua Lipa,0.643
9,10,6802,2018,ae,Ruin My Life,Zara Larsson,0.585
10,11,6504,2018,ae,when the party's over,Billie Eilish,0.198
11,12,6483,2018,ae,BAD!,XXXTENTACION,0.746
12,13,6450,2018,ae,Woman Like Me (feat. Nicki Minaj),Little Mix,0.8
13,14,6206,2018,ae,Eastside (with Halsey & Khalid),benny blanco,0.319
14,15,5925,2018,ae,MIA (feat. Drake),Bad Bunny,0.158
15,16,5914,2018,ae,Happy Now,Kygo,0.492
16,17,5859,2018,ae,ZEZE (feat. Travis Scott & Offset),Kodak Black,0.504
17,18,5427,2018,ae,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,0.448
18,19,5239,2018,ae,Better Now,Post Malone,0.341
19,20,5234,2018,ae,Bad Liar,Imagine Dragons,0.0827
20,21,4956,2018,ae,breathin,Ariana Grande,0.364
21,22,4907,2018,ae,Mo Bamba,Sheck Wes,0.261
22,23,4798,2018,ae,Bohemian Rhapsody - Remastered 2011,Queen,0.228
23,24,4580,2018,ae,Lucid Dreams,Juice WRLD,0.218
24,25,4506,2018,ae,Sweet but Psycho,Ava Max,0.62
25,26,4418,2018,ae,Let You Love Me,Rita Ora,0.452
26,27,4343,2018,ae,IDGAF,Dua Lipa,0.639
27,28,4334,2018,ae,Waste It On Me,Steve Aoki,0.466
28,29,4278,2018,ae,Be Alright,Dean Lewis,0.443
29,30,4272,2018,ae,Beautiful (feat. Camila Cabello),Bazzi,0.249
30,31,4190,2018,ae,SAD!,XXXTENTACION,0.473
31,32,4122,2018,ae,Shallow,Lady Gaga,0.323
32,33,4004,2018,ae,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,0.164
33,34,3964,2018,ae,Moonlight,XXXTENTACION,0.711
34,35,3816,2018,ae,Beach House,The Chainsmokers,0.533
35,36,3758,2018,ae,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0.493
36,37,3741,2018,ae,lovely (with Khalid),Billie Eilish,0.12
37,38,3510,2018,ae,Love Someone,Lukas Graham,0.265
38,39,3470,2018,ae,rockstar (feat. 21 Savage),Post Malone,0.129
39,40,3407,2018,ae,Havana (feat. Young Thug),Camila Cabello,0.394
40,41,3296,2018,ae,Wake Up in the Sky,Gucci Mane,0.363
41,42,3232,2018,ae,Suncity (feat. Empress Of),Khalid,0.341
42,43,3150,2018,ae,Drip Too Hard (Lil Ba,& Gunna)  ,0.389
43,44,3132,2018,ae,Falling Down - Bonus Track,Lil Peep,0.273
44,45,3055,2018,ae,2002,Anne-Marie,0.603
45,46,2904,2018,ae,Say You Won't Let Go,James Arthur,0.494
46,47,2851,2018,ae,Promises (with Sam Smith),Calvin Harris,0.486
47,48,2788,2018,ae,Happy Now,Zedd,0.458
48,49,2776,2018,ae,Kung 'Di Rin Lang Ikaw,December Avenue,0.132
49,50,2745,2018,ae,I Like Me Better,Lauv,0.419
50,51,2741,2018,ae,Empty Space,James Arthur,0.34
51,52,2725,2018,ae,Youngblood,5 Seconds of Summer,0.152
52,53,2723,2018,ae,Buwan,juan karlos,0.36
53,54,2713,2018,ae,SOLO,JENNIE,0.388
54,55,2690,2018,ae,There's No Way (feat. Julia Michaels),Lauv,0.374
55,56,2684,2018,ae,God is a woman,Ariana Grande,0.268
56,57,2598,2018,ae,New Rules,Dua Lipa,0.506
57,58,2591,2018,ae,no tears left to cry,Ariana Grande,0.354
58,59,2582,2018,ae,In My Feelings,Drake,0.35
59,60,2553,2018,ae,Taste (feat. Offset),Tyga,0.342
60,61,2524,2018,ae,Maybe The Night,Ben&Ben,0.498
61,62,2514,2018,ae,Nonstop,Drake,0.423
62,63,2510,2018,ae,One Kiss (with Dua Lipa),Calvin Harris,0.592
63,64,2493,2018,ae,Kathang Isip,Ben&Ben,0.295
64,65,2486,2018,ae,Hurts Like Hell (feat. Offset),Madison Beer,0.609
65,66,2446,2018,ae,Malibu Nights,LANY,0.191
66,67,2411,2018,ae,I Love It (& Lil Pump),Kanye West,0.329
67,68,2387,2018,ae,Psycho (feat. Ty Dolla $ign),Post Malone,0.459
68,69,2376,2018,ae,Another One Bites The Dust - Remastered 2011,Queen,0.756
69,70,2360,2018,ae,Photograph,Ed Sheeran,0.201
70,71,2357,2018,ae,Electricity (with Dua Lipa),Silk City,0.505
71,72,2325,2018,ae,The Middle,Zedd,0.437
72,73,2318,2018,ae,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,0.508
73,74,2279,2018,ae,Polaroid,Jonas Blue,0.472
74,75,2253,2018,ae,Jocelyn Flores,XXXTENTACION,0.437
75,76,2242,2018,ae,Wolves,Selena Gomez,0.306
76,77,2231,2018,ae,Love Lies (with Normani),Khalid,0.338
77,78,2221,2018,ae,Topanga,Trippie Redd,0.039
78,79,2213,2018,ae,Sana - Single Version,I Belong to the Zoo,0.348
79,80,2204,2018,ae,Money,Cardi B,0.219
80,81,2192,2018,ae,Natural,Imagine Dragons,0.22
81,82,2178,2018,ae,Rise,Jonas Blue,0.655
82,83,2176,2018,ae,Closer,The Chainsmokers,0.661
83,84,2165,2018,ae,I Like It,Cardi B,0.65
84,85,2150,2018,ae,Armed And Dangerous,Juice WRLD,0.845
85,86,2136,2018,ae,No Stylist (feat. Drake),French Montana,0.498
86,87,2117,2018,ae,Say My Name,David Guetta,0.79
87,88,2113,2018,ae,Sa Ngalan Ng Pag-Ibig,December Avenue,0.271
88,89,2113,2018,ae,Too Good At Good,s  ,0.476
89,90,2113,2018,ae,Lucky You (feat. Joyner Lucas),Eminem,0.575
90,91,2102,2018,ae,Shape of You,Ed Sheeran,0.931
91,92,2065,2018,ae,Believer,Imagine Dragons,0.666
92,93,2053,2018,ae,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.352
93,94,2038,2018,ae,I Fall Apart,Post Malone,0.291
94,95,2006,2018,ae,In My Mind,Dynoro,0.163
95,96,2003,2018,ae,High Hopes,Panic! At The Disco,0.681
96,97,1991,2018,ae,Mundo,IV Of Spades,0.481
97,98,1956,2018,ae,I Found You (with Calvin Harris),benny blanco,0.379
98,99,1948,2018,ae,Always Remember Us This Way,Lady Gaga,0.296
99,100,1940,2018,ae,Somebody To Love - Remastered 2011,Queen,0.358
100,101,1904,2018,ae,No Brainer,DJ Khaled,0.639
101,102,1896,2018,ae,Perfect,Ed Sheeran,0.168
102,103,1884,2018,ae,Starving,Hailee Steinfeld,0.508
103,104,1875,2018,ae,I Miss You (feat. Julia Michaels),Clean Bandit,0.369
104,105,1865,2018,ae,Venom - Music From The Motion Picture,Eminem,0.46
105,106,1844,2018,ae,No Candle No Light (feat. Nicki Minaj),ZAYN,0.46
106,107,1838,2018,ae,come out and play,Billie Eilish,0.177
107,108,1829,2018,ae,Side To Side,Ariana Grande,0.613
108,109,1796,2018,ae,Thinking out Loud,Ed Sheeran,0.591
109,110,1786,2018,ae,Thunder,Imagine Dragons,0.288
110,111,1785,2018,ae,Happier,Ed Sheeran,0.236
111,112,1776,2018,ae,Starboy,The Weeknd,0.486
112,113,1775,2018,ae,FRIENDS,Marshmello,0.534
113,114,1748,2018,ae,What Lovers Do,Maroon 5,0.419
114,115,1747,2018,ae,Lost In Japan - Remix,Shawn Mendes,0.293
115,116,1743,2018,ae,I'm Not The Only One,Sam Smith,0.493
116,117,1735,2018,ae,Solo (feat. Demi Lovato),Clean Bandit,0.565
117,118,1722,2018,ae,Let Me Love You,DJ Snake,0.163
118,119,1721,2018,ae,Silence,Marshmello,0.286
119,120,1701,2018,ae,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.329
120,121,1697,2018,ae,God's Plan,Drake,0.357
